Item,Effort,Value,Precursor
A,"5,3","10,5",
B,"6,3","10,3","A,H"
C,"9,2","15,6",
D,"10,4","18,6",O
E,"8,1.5","20,7.5",
F,"3,1","5,3",
G,"11,4","10,2.7",
H,"8,3",0,"AD,I"
I,"12,2","25,9",
J,"6,2","12,5",
K,"9,1","10,3",S
L,"4,2","8,2",
M,"10,5","15,4","AD,T"
N,"9,2","14,4",
O,"3,0.5","13,3",
P,"6,1","12,2",
Q,"9,3","8,8",
R,"4,2","5,3",
S,"15,5","9,4",T
T,"6,1.5","10,4",
U,"2,2","8,3",
V,"8,3","4,2",
W,"9,2",0,
X,"14,4","7,3",R
Y,"11,3","8,4",
Z,"7,2","4,3",
AB,"8,2","9,4",
AC,"4,1","3,3",
AD,"7,3",0,
AE,"10,3","8,3",P
AF,"4,1","13,4",W
AG,"5,2","12,3",
AH,"7,2","8,3",
AI,"3,1","5,3",
AJ,"9,3","9,4",
AK,"8,2","10,2.7",
AL,"6,2","8,4",AB
AM,"9,6","4,3",
AN,"3,3",0,
AO,"7,2","7,3",
AP,"9,2.5","8,3",
AQ,"10,3","4,2",
AR,"7,2","9,3",V
AS,"9,3","3,3",
AT,"15,3.5",0,
AU,"6,4","8,3",
AV,"8,3","3,2",AD
AW,"9,3","2,2",
AX,"8,5","7,3",
AY,"9,3","9,3",
AZ,"9,2.5","8,3",
BA,"10,3","13,4",
BB,"7,2","12,3",
BC,"9,3","8,3",
BD,"15,3.5","5,3",
BE,"6,4","9,4",
BF,"8,3","10,2.7",AB
BG,"9,3","8,4",
BH,"8,5","4,3",
BI,"9,3","9,3",
BJ,"6,1","18,6",
BK,"9,3","20,7.5",
BL,"4,2","5,3",V
BM,"15,5","10,2.7",
BN,"6,1.5",0,
BO,"2,2","25,9",
BP,"8,3","12,5",
BQ,"9,2","10,3",
BR,"14,4","8,2",
BS,"11,3","15,4",
